# wave, flux, fluxerr, csub, csuberr, spline_flux
7.132924079895019531e+00,4.123516019572164737e+00,1.674174448795298087e-01,6.514348205309739015e-01,1.674174448795298087e-01,3.472081199041190835e+00
7.163909912109375000e+00,3.243459191785575513e+00,1.550822211994501432e-01,-2.923665660160916779e-01,1.550822211994501432e-01,3.535825757801667191e+00
7.194895267486572266e+00,3.421772828703694369e+00,1.636367482663616812e-01,-1.783377991342658397e-01,1.636367482663616812e-01,3.600110627837960209e+00
7.225880622863769531e+00,3.728393038660200443e+00,1.772030878535945653e-01,6.366738911976499438e-02,1.772030878535945653e-01,3.664725649540435448e+00
7.256865978240966797e+00,4.220333781784959548e+00,1.786356214037558288e-01,4.906702345204494442e-01,1.786356214037558288e-01,3.729663547264510104e+00
7.287851333618164062e+00,4.919365280181964728e+00,1.812296262526172375e-01,1.124397269963171464e+00,1.812296262526172375e-01,3.794968010218793264e+00
7.318836688995361328e+00,5.406940639726389719e+00,2.146496750793712160e-01,1.546257912114500588e+00,2.146496750793712160e-01,3.860682727611889131e+00
7.349822044372558594e+00,5.537589180304927083e+00,2.399642831274890198e-01,1.610737791652524287e+00,2.399642831274890198e-01,3.926851388652402797e+00
7.380807399749755859e+00,6.777539681243908376e+00,2.164677944320755054e-01,2.784021998694965916e+00,2.164677944320755054e-01,3.993517682548942460e+00
7.411792755126953125e+00,5.317454845585914747e+00,2.544735746532102993e-01,1.256729547075800646e+00,2.544735746532102993e-01,4.060725298510114101e+00
7.442778110504150391e+00,4.736616317566792134e+00,2.508556219143155408e-01,6.080983918222688800e-01,2.508556219143155408e-01,4.128517925744523254e+00
7.473763465881347656e+00,5.240756354011433693e+00,2.922255738768692046e-01,1.043817100550659127e+00,2.922255738768692046e-01,4.196939253460774566e+00
7.504748821258544922e+00,6.941463737626583530e+00,2.664624968168997077e-01,2.675430766759107293e+00,2.664624968168997077e-01,4.266032970867476237e+00
7.533705711364746094e+00,7.078003406524658203e+00,4.039187431335449219e-01,2.746753524405404434e+00,4.039187431335449219e-01,4.331249882119253769e+00
7.595799446105957031e+00,8.565130233764648438e+00,3.949122428894042969e-01,4.091757956892513093e+00,3.949122428894042969e-01,4.473372276872135345e+00
7.657893657684326172e+00,8.827589035034179688e+00,4.154074192047119141e-01,4.208701967940700506e+00,4.154074192047119141e-01,4.618887067093479182e+00
7.719987869262695312e+00,8.580572128295898438e+00,3.985033333301544189e-01,3.812427347330316962e+00,3.985033333301544189e-01,4.768144780965581475e+00
7.782082080841064453e+00,8.411376953125000000e+00,3.693214654922485352e-01,3.489879927173416441e+00,3.693214654922485352e-01,4.921497025951583559e+00
7.844176292419433594e+00,8.784363746643066406e+00,3.657032847404479980e-01,3.705068337128439637e+00,3.657032847404479980e-01,5.079295409514626769e+00
7.906270503997802734e+00,8.591618537902832031e+00,3.675648272037506104e-01,3.349726998784982257e+00,3.675648272037506104e-01,5.241891539117849774e+00
7.968364715576171875e+00,7.519593238830566406e+00,3.697674572467803955e-01,2.109956216606174273e+00,3.697674572467803955e-01,5.409637022224392133e+00
8.030458450317382812e+00,7.125850677490234375e+00,3.671177625656127930e-01,1.542968563617600708e+00,3.671177625656127930e-01,5.582882113872633667e+00
8.092554092407226562e+00,6.812246799468994141e+00,3.367748856544494629e-01,1.050261523231617034e+00,3.367748856544494629e-01,5.761985276237377107e+00
8.154647827148437500e+00,5.571045875549316406e+00,3.421393334865570068e-01,-3.762412393580127912e-01,3.421393334865570068e-01,5.947287114907329197e+00
8.216741561889648438e+00,5.863911628723144531e+00,3.040084242820739746e-01,-2.752330102234026299e-01,3.040084242820739746e-01,6.139144638946547161e+00
8.278836250305175781e+00,6.201147079467773438e+00,3.215205967426300049e-01,-1.359502126126335142e-01,3.215205967426300049e-01,6.337097292080406952e+00
8.340929985046386719e+00,7.023481369018554688e+00,3.000711202621459961e-01,4.860669622817619384e-01,3.000711202621459961e-01,6.537414406736792749e+00
8.403024673461914062e+00,7.339015007019042969e+00,2.823278605937957764e-01,6.034527766577744146e-01,2.823278605937957764e-01,6.735562230361268554e+00
8.465118408203125000e+00,7.814840316772460938e+00,2.820112109184265137e-01,8.878454530585324633e-01,2.820112109184265137e-01,6.926994863713928474e+00
8.527213096618652344e+00,8.308477401733398438e+00,2.989279627799987793e-01,1.201299120399875520e+00,2.989279627799987793e-01,7.107178281333522918e+00
8.589306831359863281e+00,9.110569000244140625e+00,3.109785914421081543e-01,1.839001864455362956e+00,3.109785914421081543e-01,7.271567135788777669e+00
8.651401519775390625e+00,8.800447463989257812e+00,2.866068780422210693e-01,1.384820893081268878e+00,2.866068780422210693e-01,7.415626570907988935e+00
8.713495254516601562e+00,9.229031562805175781e+00,2.706522345542907715e-01,1.694219213933016555e+00,2.706522345542907715e-01,7.534812348872159227e+00
8.775589942932128906e+00,8.506172180175781250e+00,2.881175577640533447e-01,8.815839551802957530e-01,2.881175577640533447e-01,7.624588224995485497e+00
8.837684631347656250e+00,7.711080551147460938e+00,2.899287939071655273e-01,3.066834886711866659e-02,2.899287939071655273e-01,7.680412202280342271e+00
8.899778366088867188e+00,7.697744369506835938e+00,2.739945948123931885e-01,1.776356839400250465e-15,2.739945948123931885e-01,7.697744369506834161e+00
8.961872100830078125e+00,7.227731704711914062e+00,2.705312967300415039e-01,-4.480553300250766924e-01,2.705312967300415039e-01,7.675787034736990755e+00
9.023966789245605469e+00,7.232084274291992188e+00,2.549331784248352051e-01,-3.966200097666776614e-01,2.549331784248352051e-01,7.628704284058669849e+00
9.086061477661132812e+00,7.170423984527587891e+00,2.368334531784057617e-01,-4.039788541057705018e-01,2.368334531784057617e-01,7.574402838633358392e+00
9.148155212402343750e+00,7.659075260162353516e+00,2.664654254913330078e-01,1.282853970714654679e-01,2.664654254913330078e-01,7.530789863090888048e+00
9.210248947143554688e+00,7.665872573852539062e+00,2.672618925571441650e-01,1.501021973059302184e-01,2.672618925571441650e-01,7.515770376546608844e+00
